cap,world,effect_mae,signed_bias,brier_final_y,mi_fallback_nodes,standardization_anchor_units,kendall,spearman,top_control_true,top_control_selected,top_control_correct,normalized_regret,learned_edges,true_edges,edge_precision,edge_recall,edge_f1
6,dev_bec_payment,0.005169,-0.003117,0.06554795366742637,0,1500,1.0,1.0,C4,C4,True,0.0,70,61,0.8142857142857143,0.9344262295081968,0.8702290076335878
6,dev_exfiltration,0.001494,-0.001494,0.04465859977645203,0,1500,1.0,1.0,C4,C4,True,0.0,71,61,0.8169014084507042,0.9508196721311475,0.8787878787878788
6,dev_helpdesk_identity,0.007548,-0.001702,0.09577571214722912,0,1500,0.6666666666666669,0.7999999999999999,C4,C4,True,0.0,70,62,0.8571428571428571,0.967741935483871,0.909090909090909
6,dev_itot_change,0.008126,0.000600,0.1104954643200512,0,1500,1.0,1.0,C4,C4,True,0.0,71,62,0.8309859154929577,0.9516129032258065,0.887218045112782
8,dev_bec_payment,0.004068,-0.000548,0.06451678733207232,0,1500,1.0,1.0,C4,C4,True,0.0,86,61,0.6976744186046512,0.9836065573770492,0.8163265306122448
8,dev_exfiltration,0.001609,0.001318,0.04482540779205196,0,1500,1.0,1.0,C4,C4,True,0.0,85,61,0.6941176470588235,0.9672131147540983,0.8082191780821918
8,dev_helpdesk_identity,0.007028,0.003390,0.09399644465348392,0,1500,0.6666666666666669,0.7999999999999999,C4,C4,True,0.0,85,62,0.7294117647058823,1.0,0.8435374149659863
8,dev_itot_change,0.006407,0.003802,0.10915240177741263,0,1500,1.0,1.0,C4,C4,True,0.0,83,62,0.7349397590361446,0.9838709677419355,0.8413793103448276
10,dev_bec_payment,0.003952,0.000575,0.06596775182226647,0,1500,1.0,1.0,C4,C4,True,0.0,91,61,0.6593406593406593,0.9836065573770492,0.7894736842105262
10,dev_exfiltration,0.005739,0.005118,0.0444254688552107,0,1500,0.6666666666666669,0.7999999999999999,C4,C4,True,0.0,89,61,0.6629213483146067,0.9672131147540983,0.7866666666666665
10,dev_helpdesk_identity,0.007519,0.001217,0.09351630585244791,0,1500,0.6666666666666669,0.7999999999999999,C4,C4,True,0.0,91,62,0.6813186813186813,1.0,0.8104575163398693
10,dev_itot_change,0.007690,0.005920,0.10982277757437442,0,1500,1.0,1.0,C4,C4,True,0.0,88,62,0.6931818181818182,0.9838709677419355,0.8133333333333332
