cap,world,effect_mae,signed_bias,brier_final_y,mi_fallback_nodes,kendall,spearman,top_control_true,top_control_selected,top_control_correct,normalized_regret,learned_edges,true_edges,edge_precision,edge_recall,edge_f1
6,dev_bec_payment,0.00526313131313131,-0.00314393939393939,0.06554795366742637,0,1.0,1.0,C4,C4,True,0.0,70,61,0.8142857142857143,0.9344262295081968,0.8702290076335878
6,dev_exfiltration,0.0015904040404040379,-0.0012131313131313083,0.04465859977645203,0,1.0,1.0,C4,C4,True,0.0,71,61,0.8169014084507042,0.9508196721311475,0.8787878787878788
6,dev_helpdesk_identity,0.00733787878787877,-0.0009984848484848301,0.09577571214722912,0,0.6666666666666669,0.7999999999999999,C4,C4,True,0.0,70,62,0.8571428571428571,0.967741935483871,0.909090909090909
6,dev_itot_change,0.008057828282828283,-7.499999999999694e-05,0.1104954643200512,0,1.0,1.0,C4,C4,True,0.0,71,62,0.8309859154929577,0.9516129032258065,0.887218045112782
8,dev_bec_payment,0.004165909090909088,-0.00021439393939393786,0.06451678733207232,0,1.0,1.0,C4,C4,True,0.0,86,61,0.6976744186046512,0.9836065573770492,0.8163265306122448
8,dev_exfiltration,0.0018601010101010045,0.0018414141414141386,0.04482540779205196,0,1.0,1.0,C4,C4,True,0.0,85,61,0.6941176470588235,0.9672131147540983,0.8082191780821918
8,dev_helpdesk_identity,0.008286111111111114,0.004485606060606067,0.09399644465348392,0,0.6666666666666669,0.7999999999999999,C4,C4,True,0.0,85,62,0.7294117647058823,1.0,0.8435374149659863
8,dev_itot_change,0.007023737373737368,0.0027909090909090887,0.10915240177741263,0,1.0,1.0,C4,C4,True,0.0,83,62,0.7349397590361446,0.9838709677419355,0.8413793103448276
10,dev_bec_payment,0.004265404040404042,1.7424242424245867e-05,0.06596775182226647,0,1.0,1.0,C4,C4,True,0.0,91,61,0.6593406593406593,0.9836065573770492,0.7894736842105262
10,dev_exfiltration,0.006653282828282824,0.006166414141414139,0.0444254688552107,0,0.6666666666666669,0.7999999999999999,C4,C4,True,0.0,89,61,0.6629213483146067,0.9672131147540983,0.7866666666666665
10,dev_helpdesk_identity,0.007511111111111116,0.00211515151515153,0.09351630585244791,0,0.6666666666666669,0.7999999999999999,C4,C4,True,0.0,91,62,0.6813186813186813,1.0,0.8104575163398693
10,dev_itot_change,0.008011363636363634,0.005988636363636375,0.10982277757437442,0,1.0,1.0,C4,C4,True,0.0,88,62,0.6931818181818182,0.9838709677419355,0.8133333333333332
