context,model,n_target_positive,precision,recall,f1
bec_payment,DCHAG_full,1093,1.0,1.0,1.0
bec_payment,DCHAG_technical_only,1093,1.0,0.5295861122713822,0.6395277766225451
bec_payment,DCHAG_no_human,1093,1.0,0.8705256901277029,0.9216334002336768
bec_payment,DCHAG_no_process,1093,1.0,0.5295861122713822,0.6395277766225451
bec_payment,DCHAG_no_temporal,1093,0.6816102470265325,0.5831945603446061,0.6094206037938884
data_exfiltration,DCHAG_full,877,1.0,1.0,1.0
data_exfiltration,DCHAG_technical_only,877,1.0,0.6841090367886263,0.7859024479597183
data_exfiltration,DCHAG_no_human,877,1.0,0.8294654904831643,0.8965583566959143
data_exfiltration,DCHAG_no_process,877,1.0,0.6841090367886263,0.7859024479597183
data_exfiltration,DCHAG_no_temporal,877,0.6875712656784493,0.5911372470808046,0.6166835837789624
helpdesk_identity,DCHAG_full,1012,1.0,1.0,1.0
helpdesk_identity,DCHAG_technical_only,1012,1.0,0.717098665594655,0.8114160225434439
helpdesk_identity,DCHAG_no_human,1012,1.0,0.8420369425905929,0.9055004118959696
helpdesk_identity,DCHAG_no_process,1012,1.0,0.717098665594655,0.8114160225434439
helpdesk_identity,DCHAG_no_temporal,1012,0.7075098814229249,0.4932468970294476,0.5475485222185041
it_ot_maintenance,DCHAG_full,1001,1.0,1.0,1.0
it_ot_maintenance,DCHAG_technical_only,1001,1.0,0.7022407814740482,0.7983068403221577
it_ot_maintenance,DCHAG_no_human,1001,1.0,0.8435132910157884,0.9047703795811356
it_ot_maintenance,DCHAG_no_process,1001,1.0,0.7022407814740482,0.7983068403221577
it_ot_maintenance,DCHAG_no_temporal,1001,0.6803196803196803,0.5753881095039937,0.6036496077901267
