axis,value,attack_nodes,controls,horizon,mc,event_rows,seconds,peak_rss_mb,status
graph,12,12,4,4,20000,,0.0468051220000234,184.71484375,ok
graph,25,25,4,4,20000,,0.0913102490003439,187.42578125,ok
graph,50,50,4,4,20000,,0.24591555599999992,190.8046875,ok
graph,100,100,4,4,20000,,0.48965009299990925,198.8203125,ok
graph,200,200,4,4,20000,,1.4273675110002841,214.34765625,ok
graph,400,400,4,4,20000,,2.135645819000274,244.76953125,ok
events,250,50,4,4,50,1000.0,0.2393972820000272,189.65234375,ok
events,1000,50,4,4,50,4000.0,0.9507279290000952,207.0859375,ok
events,3000,50,4,4,50,12000.0,3.0115028190002704,247.44921875,ok
controls,1,50,1,4,10000,,0.07236727200006499,186.35546875,ok
controls,4,50,4,4,10000,,0.3073990469997625,186.44921875,ok
controls,8,50,8,4,10000,,0.62120829100013,186.953125,ok
controls,16,50,16,4,10000,,1.2337352089998603,187.5703125,ok
