context,control,time,root_context,target_state,observed_count,stratum_n,empirical_target_probability,severe_support_warning
bec_payment,oob_confirmation,0,0,1,1888,6806,0.2774022920952101,False
bec_payment,oob_confirmation,0,1,1,3200,5194,0.6160954948016942,False
bec_payment,oob_confirmation,1,0,1,1851,6837,0.27073277753400615,False
bec_payment,oob_confirmation,1,1,1,3189,5163,0.6176641487507263,False
bec_payment,oob_confirmation,2,0,1,1817,6875,0.2642909090909091,False
bec_payment,oob_confirmation,2,1,1,3250,5125,0.6341463414634146,False
bec_payment,oob_confirmation,3,0,1,1754,6874,0.2551643875472796,False
bec_payment,oob_confirmation,3,1,1,3207,5126,0.6256340226297308,False
bec_payment,dual_approval,0,0,1,1972,6806,0.2897443432265648,False
bec_payment,dual_approval,0,1,1,2966,5194,0.5710435117443203,False
bec_payment,dual_approval,1,0,1,1985,6837,0.2903320169665058,False
bec_payment,dual_approval,1,1,1,3052,5163,0.5911291884563239,False
bec_payment,dual_approval,2,0,1,2042,6875,0.2970181818181818,False
bec_payment,dual_approval,2,1,1,2940,5125,0.5736585365853658,False
bec_payment,dual_approval,3,0,1,1987,6874,0.28906022694210065,False
bec_payment,dual_approval,3,1,1,2966,5126,0.5786188060866172,False
bec_payment,beneficiary_lock,0,0,1,1802,6806,0.2647663826035851,False
bec_payment,beneficiary_lock,0,1,1,2610,5194,0.5025028879476319,False
bec_payment,beneficiary_lock,1,0,1,1831,6837,0.26780751791721513,False
bec_payment,beneficiary_lock,1,1,1,2623,5163,0.5080379624249467,False
bec_payment,beneficiary_lock,2,0,1,1879,6875,0.2733090909090909,False
bec_payment,beneficiary_lock,2,1,1,2545,5125,0.49658536585365853,False
bec_payment,beneficiary_lock,3,0,1,1857,6874,0.27014838521966833,False
bec_payment,beneficiary_lock,3,1,1,2575,5126,0.5023410066328521,False
bec_payment,payment_hold,0,0,1,1528,6806,0.22450778724654716,False
bec_payment,payment_hold,0,1,1,2357,5194,0.45379283788987296,False
bec_payment,payment_hold,1,0,1,1584,6837,0.23168056164984643,False
bec_payment,payment_hold,1,1,1,2295,5163,0.44450900639163277,False
bec_payment,payment_hold,2,0,1,1572,6875,0.22865454545454544,False
bec_payment,payment_hold,2,1,1,2332,5125,0.45502439024390245,False
bec_payment,payment_hold,3,0,1,1615,6874,0.2349432644748327,False
bec_payment,payment_hold,3,1,1,2287,5126,0.4461568474444011,False
data_exfiltration,separation_of_duties,0,0,1,1888,7496,0.2518676627534685,False
data_exfiltration,separation_of_duties,0,1,1,2486,4504,0.5519538188277087,False
data_exfiltration,separation_of_duties,1,0,1,1884,7539,0.24990051730998805,False
data_exfiltration,separation_of_duties,1,1,1,2511,4461,0.5628782784129119,False
data_exfiltration,separation_of_duties,2,0,1,1960,7536,0.26008492569002123,False
data_exfiltration,separation_of_duties,2,1,1,2427,4464,0.5436827956989247,False
data_exfiltration,separation_of_duties,3,0,1,1799,7389,0.24347002300717283,False
data_exfiltration,separation_of_duties,3,1,1,2505,4611,0.5432661027976577,False
data_exfiltration,dlp_enforcement,0,0,1,2300,7496,0.3068303094983991,False
data_exfiltration,dlp_enforcement,0,1,1,2537,4504,0.5632770870337478,False
data_exfiltration,dlp_enforcement,1,0,1,2357,7539,0.31264093381085023,False
data_exfiltration,dlp_enforcement,1,1,1,2623,4461,0.5879847567809908,False
data_exfiltration,dlp_enforcement,2,0,1,2330,7536,0.30918259023354566,False
data_exfiltration,dlp_enforcement,2,1,1,2541,4464,0.5692204301075269,False
data_exfiltration,dlp_enforcement,3,0,1,2315,7389,0.3133035593449723,False
data_exfiltration,dlp_enforcement,3,1,1,2657,4611,0.5762307525482542,False
data_exfiltration,export_confirmation,0,0,1,2014,7496,0.2686766275346852,False
data_exfiltration,export_confirmation,0,1,1,2245,4504,0.4984458259325044,False
data_exfiltration,export_confirmation,1,0,1,2076,7539,0.2753680859530442,False
data_exfiltration,export_confirmation,1,1,1,2165,4461,0.4853171934543824,False
data_exfiltration,export_confirmation,2,0,1,1973,7536,0.2618099787685775,False
data_exfiltration,export_confirmation,2,1,1,2229,4464,0.4993279569892473,False
data_exfiltration,export_confirmation,3,0,1,1995,7389,0.26999593991067805,False
data_exfiltration,export_confirmation,3,1,1,2259,4611,0.48991541964866625,False
data_exfiltration,egress_protection,0,0,1,1848,7496,0.24653148345784417,False
data_exfiltration,egress_protection,0,1,1,2054,4504,0.45603907637655416,False
data_exfiltration,egress_protection,1,0,1,1884,7539,0.24990051730998805,False
data_exfiltration,egress_protection,1,1,1,2131,4461,0.47769558394978706,False
data_exfiltration,egress_protection,2,0,1,1856,7536,0.24628450106157113,False
data_exfiltration,egress_protection,2,1,1,2111,4464,0.4728942652329749,False
data_exfiltration,egress_protection,3,0,1,1887,7389,0.2553796183516037,False
data_exfiltration,egress_protection,3,1,1,2178,4611,0.47234873129473,False
helpdesk_identity,strong_verification,0,0,1,1988,7201,0.2760727676711568,False
helpdesk_identity,strong_verification,0,1,1,2885,4799,0.6011669097728694,False
helpdesk_identity,strong_verification,1,0,1,1933,7218,0.26780271543363815,False
helpdesk_identity,strong_verification,1,1,1,2857,4782,0.5974487662066081,False
helpdesk_identity,strong_verification,2,0,1,1935,7142,0.2709325119014282,False
helpdesk_identity,strong_verification,2,1,1,2926,4858,0.6023054755043228,False
helpdesk_identity,strong_verification,3,0,1,1971,7195,0.2739402362751911,False
helpdesk_identity,strong_verification,3,1,1,2918,4805,0.6072840790842872,False
helpdesk_identity,mfa_enforcement,0,0,1,2367,7201,0.3287043466185252,False
helpdesk_identity,mfa_enforcement,0,1,1,2782,4799,0.5797041050218795,False
helpdesk_identity,mfa_enforcement,1,0,1,2306,7218,0.3194790800775838,False
helpdesk_identity,mfa_enforcement,1,1,1,2713,4782,0.5673358427436219,False
helpdesk_identity,mfa_enforcement,2,0,1,2370,7142,0.33183982077849344,False
helpdesk_identity,mfa_enforcement,2,1,1,2865,4858,0.5897488678468505,False
helpdesk_identity,mfa_enforcement,3,0,1,2395,7195,0.3328700486448923,False
helpdesk_identity,mfa_enforcement,3,1,1,2797,4805,0.58210197710718,False
helpdesk_identity,manager_callback,0,0,1,1833,7201,0.254547979447299,False
helpdesk_identity,manager_callback,0,1,1,2451,4799,0.5107314023754949,False
helpdesk_identity,manager_callback,1,0,1,1791,7218,0.24812967581047382,False
helpdesk_identity,manager_callback,1,1,1,2364,4782,0.49435382685069007,False
helpdesk_identity,manager_callback,2,0,1,1801,7142,0.25217026043125174,False
helpdesk_identity,manager_callback,2,1,1,2468,4858,0.5080279950596953,False
helpdesk_identity,manager_callback,3,0,1,1814,7195,0.2521195274496178,False
helpdesk_identity,manager_callback,3,1,1,2431,4805,0.5059313215400625,False
helpdesk_identity,session_risk_block,0,0,1,1704,7201,0.23663380086099153,False
helpdesk_identity,session_risk_block,0,1,1,2161,4799,0.4503021462804751,False
helpdesk_identity,session_risk_block,1,0,1,1700,7218,0.23552230534774177,False
helpdesk_identity,session_risk_block,1,1,1,2151,4782,0.4498117942283563,False
helpdesk_identity,session_risk_block,2,0,1,1641,7142,0.22976757210865303,False
helpdesk_identity,session_risk_block,2,1,1,2160,4858,0.4446274186908193,False
helpdesk_identity,session_risk_block,3,0,1,1693,7195,0.2353022932592078,False
helpdesk_identity,session_risk_block,3,1,1,2143,4805,0.44599375650364204,False
it_ot_maintenance,change_validation,0,0,1,1890,7141,0.26466881389161184,False
it_ot_maintenance,change_validation,0,1,1,2912,4859,0.5993002675447623,False
it_ot_maintenance,change_validation,1,0,1,1899,7108,0.26716375914462576,False
it_ot_maintenance,change_validation,1,1,1,2997,4892,0.6126328699918234,False
it_ot_maintenance,change_validation,2,0,1,1948,7119,0.27363393735075153,False
it_ot_maintenance,change_validation,2,1,1,2874,4881,0.5888137676705593,False
it_ot_maintenance,change_validation,3,0,1,1847,7082,0.2608020333239198,False
it_ot_maintenance,change_validation,3,1,1,2890,4918,0.5876372509150061,False
it_ot_maintenance,jump_host_enforcement,0,0,1,2061,7141,0.2886150399103767,False
it_ot_maintenance,jump_host_enforcement,0,1,1,2535,4859,0.5217122864786993,False
it_ot_maintenance,jump_host_enforcement,1,0,1,2092,7108,0.29431626336522226,False
it_ot_maintenance,jump_host_enforcement,1,1,1,2592,4892,0.5298446443172526,False
it_ot_maintenance,jump_host_enforcement,2,0,1,2046,7119,0.28739991571849977,False
it_ot_maintenance,jump_host_enforcement,2,1,1,2562,4881,0.5248924400737554,False
it_ot_maintenance,jump_host_enforcement,3,0,1,2006,7082,0.28325331827167466,False
it_ot_maintenance,jump_host_enforcement,3,1,1,2649,4918,0.5386335908906059,False
it_ot_maintenance,signed_change_package,0,0,1,1756,7141,0.245903935023106,False
it_ot_maintenance,signed_change_package,0,1,1,2286,4859,0.47046717431570284,False
it_ot_maintenance,signed_change_package,1,0,1,1742,7108,0.24507597073719753,False
it_ot_maintenance,signed_change_package,1,1,1,2294,4892,0.4689288634505315,False
it_ot_maintenance,signed_change_package,2,0,1,1775,7119,0.24933277145666527,False
it_ot_maintenance,signed_change_package,2,1,1,2359,4881,0.48330260192583485,False
it_ot_maintenance,signed_change_package,3,0,1,1745,7082,0.24639932222536007,False
it_ot_maintenance,signed_change_package,3,1,1,2311,4918,0.46990646604310693,False
it_ot_maintenance,command_allowlist,0,0,1,1622,7141,0.2271390561546002,False
it_ot_maintenance,command_allowlist,0,1,1,2170,4859,0.44659394937229885,False
it_ot_maintenance,command_allowlist,1,0,1,1651,7108,0.2322734946539111,False
it_ot_maintenance,command_allowlist,1,1,1,2251,4892,0.46013900245298445,False
it_ot_maintenance,command_allowlist,2,0,1,1647,7119,0.23135271807838179,False
it_ot_maintenance,command_allowlist,2,1,1,2186,4881,0.44785904527760706,False
it_ot_maintenance,command_allowlist,3,0,1,1692,7082,0.23891556057610844,False
it_ot_maintenance,command_allowlist,3,1,1,2227,4918,0.4528263521756812,False
