model,operation,seconds,ru_maxrss_mb
DCHAG_full,fit,0.26291821600079857,208.7578125
DCHAG_technical_only,fit,0.13843384500069078,209.7890625
DCHAG_no_human,fit,0.2081100699997478,217.1796875
DCHAG_no_process,fit,0.17664146599963715,217.25390625
DCHAG_no_temporal,fit,0.22255033700002969,217.25390625
ObservationalOutcome,fit,0.04381328600084089,217.25390625
SEAGInspiredRisk,fit,0.052970642000218504,217.25390625
QualitativeRiskMatrix,fit,0.03554971999983536,217.25390625
DCHAG_full,effect:oob_confirmation,0.03933902199969452,217.25390625
DCHAG_full,effect:dual_approval,0.037340863999816065,217.25390625
DCHAG_full,effect:beneficiary_lock,0.03613611399941874,217.25390625
DCHAG_full,effect:payment_hold,0.03536996500042733,217.25390625
DCHAG_technical_only,effect:oob_confirmation,0.017537642999741365,217.25390625
DCHAG_technical_only,effect:dual_approval,0.01643471999977919,217.25390625
DCHAG_technical_only,effect:beneficiary_lock,0.016562371999498282,217.25390625
DCHAG_technical_only,effect:payment_hold,0.01641837100032717,217.25390625
DCHAG_no_human,effect:oob_confirmation,0.026041688000077556,217.25390625
DCHAG_no_human,effect:dual_approval,0.027612263000264647,217.25390625
DCHAG_no_human,effect:beneficiary_lock,0.028377493000334653,217.25390625
DCHAG_no_human,effect:payment_hold,0.026835843000299064,217.25390625
DCHAG_no_process,effect:oob_confirmation,0.020521778999864182,217.25390625
DCHAG_no_process,effect:dual_approval,0.020944494000104896,217.25390625
DCHAG_no_process,effect:beneficiary_lock,0.0219699249992118,217.25390625
DCHAG_no_process,effect:payment_hold,0.021686838999812608,217.25390625
DCHAG_no_temporal,effect:oob_confirmation,0.03377823699975124,217.25390625
DCHAG_no_temporal,effect:dual_approval,0.036345565000374336,217.25390625
DCHAG_no_temporal,effect:beneficiary_lock,0.047986675999709405,217.25390625
DCHAG_no_temporal,effect:payment_hold,0.03647117399941635,217.25390625
DCHAG_full,risk_prediction,2.5533539319994816,399.0234375
DCHAG_technical_only,risk_prediction,1.9077270309999221,399.0234375
DCHAG_no_human,risk_prediction,2.3891260319996945,399.0234375
DCHAG_no_process,risk_prediction,2.21777652900073,399.0234375
DCHAG_no_temporal,risk_prediction,2.2846029619995534,399.3046875
