context,model,control,baseline_risk,intervention_risk,risk_reduction,estimator_se,seed
data_exfiltration,DCHAG_full,separation_of_duties,0.50242,0.40372,0.0987,0.001333867228788413,51100
data_exfiltration,DCHAG_full,dlp_enforcement,0.50188,0.23264,0.26924,0.0019837023843064234,51101
data_exfiltration,DCHAG_full,export_confirmation,0.5027,0.35464,0.14806,0.0015883372388456067,51102
data_exfiltration,DCHAG_full,egress_protection,0.49906,0.34802,0.15104,0.0016014336264089108,51103
data_exfiltration,DCHAG_technical_only,separation_of_duties,0.46596,0.46596,0.0,0.0,52100
data_exfiltration,DCHAG_technical_only,dlp_enforcement,0.46452,0.21696,0.24756,0.0019301697954088868,52101
data_exfiltration,DCHAG_technical_only,export_confirmation,0.466,0.32356,0.14244,0.0015630309623663205,52102
data_exfiltration,DCHAG_technical_only,egress_protection,0.46334,0.3139,0.14944,0.001594429230819431,52103
data_exfiltration,DCHAG_no_human,separation_of_duties,0.46706,0.46706,0.0,0.0,53100
data_exfiltration,DCHAG_no_human,dlp_enforcement,0.46596,0.21752,0.24844,0.0019324663041099398,53101
data_exfiltration,DCHAG_no_human,export_confirmation,0.4674,0.32544,0.14196,0.0015608317948830484,53102
data_exfiltration,DCHAG_no_human,egress_protection,0.46582,0.31858,0.14724,0.0015846948833000828,53103
data_exfiltration,DCHAG_no_process,separation_of_duties,0.46794,0.46794,0.0,0.0,54100
data_exfiltration,DCHAG_no_process,dlp_enforcement,0.46166,0.21476,0.2469,0.001928440348479453,54101
data_exfiltration,DCHAG_no_process,export_confirmation,0.46482,0.32508,0.13974,0.0015505814180670043,54102
data_exfiltration,DCHAG_no_process,egress_protection,0.4654,0.31952,0.14588,0.001578616594555832,54103
data_exfiltration,DCHAG_no_temporal,separation_of_duties,0.3914,0.32176,0.06964,0.0011383458721436525,55100
data_exfiltration,DCHAG_no_temporal,dlp_enforcement,0.39376,0.21894,0.17482,0.001698592669341631,55101
data_exfiltration,DCHAG_no_temporal,export_confirmation,0.3894,0.28638,0.10302,0.0013594758385095005,55102
data_exfiltration,DCHAG_no_temporal,egress_protection,0.38788,0.30064,0.08724,0.001261988708471675,55103
data_exfiltration,ObservationalOutcome,separation_of_duties,0.4995032833575088,0.42274201433267306,0.0767612690248357,,
data_exfiltration,ObservationalOutcome,dlp_enforcement,0.4995032833575088,0.2526782138904377,0.2468250694670711,,
data_exfiltration,ObservationalOutcome,export_confirmation,0.4995032833575088,0.3647723542113825,0.13473092914612633,,
data_exfiltration,ObservationalOutcome,egress_protection,0.4995032833575088,0.3235940390158927,0.1759092443416161,,
