model,operation,seconds,ru_maxrss_mb
DCHAG_full,fit,0.24367321800036734,209.0
DCHAG_technical_only,fit,0.1783431740004744,210.21484375
DCHAG_no_human,fit,0.18625426999915362,210.21484375
DCHAG_no_process,fit,0.19822304699937376,210.21484375
DCHAG_no_temporal,fit,0.22555220399954123,210.2265625
ObservationalOutcome,fit,0.04501583500041306,210.2265625
SEAGInspiredRisk,fit,0.04945261699958792,210.2265625
QualitativeRiskMatrix,fit,0.03485807399920304,210.2265625
DCHAG_full,effect:separation_of_duties,0.03529639299995324,210.2265625
DCHAG_full,effect:dlp_enforcement,0.11253330500039738,210.2265625
DCHAG_full,effect:export_confirmation,0.6259609460003048,210.2265625
DCHAG_full,effect:egress_protection,0.11582759999964765,210.2265625
DCHAG_technical_only,effect:separation_of_duties,0.059992665000208945,210.2265625
DCHAG_technical_only,effect:dlp_enforcement,0.12125495500004035,210.2265625
DCHAG_technical_only,effect:export_confirmation,0.1174777139995058,210.2265625
DCHAG_technical_only,effect:egress_protection,0.0359249559996897,210.2265625
DCHAG_no_human,effect:separation_of_duties,0.10025049900013983,210.2265625
DCHAG_no_human,effect:dlp_enforcement,0.04184372899999289,210.2265625
DCHAG_no_human,effect:export_confirmation,0.043886627999199845,210.2265625
DCHAG_no_human,effect:egress_protection,0.04369880200010812,210.2265625
DCHAG_no_process,effect:separation_of_duties,0.037587926000014704,210.2265625
DCHAG_no_process,effect:dlp_enforcement,0.035451710000415915,210.2265625
DCHAG_no_process,effect:export_confirmation,0.03886433999923611,210.2265625
DCHAG_no_process,effect:egress_protection,0.0440199680006117,210.2265625
DCHAG_no_temporal,effect:separation_of_duties,0.04326244599997153,210.2265625
DCHAG_no_temporal,effect:dlp_enforcement,0.042303223999624606,210.2265625
DCHAG_no_temporal,effect:export_confirmation,0.05368698799975391,210.2265625
DCHAG_no_temporal,effect:egress_protection,0.045309783999982756,210.2265625
DCHAG_full,risk_prediction,3.1032992780001223,399.34375
DCHAG_technical_only,risk_prediction,1.9900114719994235,399.34375
DCHAG_no_human,risk_prediction,2.4214262899995447,399.34375
DCHAG_no_process,risk_prediction,2.038459596999928,399.34375
DCHAG_no_temporal,risk_prediction,2.0849546630006444,399.375
