context,model,control,baseline_risk,intervention_risk,risk_reduction,estimator_se,seed
helpdesk_identity,DCHAG_full,strong_verification,0.53956,0.41716,0.1224,0.0014657447827488123,51200
helpdesk_identity,DCHAG_full,mfa_enforcement,0.53778,0.2645,0.27328,0.0019929978105370453,51201
helpdesk_identity,DCHAG_full,manager_callback,0.54024,0.47502,0.06522,0.0011042424638766527,51202
helpdesk_identity,DCHAG_full,session_risk_block,0.53684,0.40674,0.1301,0.0015045016020268675,51203
helpdesk_identity,DCHAG_technical_only,strong_verification,0.45692,0.45692,0.0,0.0,52200
helpdesk_identity,DCHAG_technical_only,mfa_enforcement,0.4618,0.22862,0.23318,0.0018910878552477477,52201
helpdesk_identity,DCHAG_technical_only,manager_callback,0.4659,0.4659,0.0,0.0,52202
helpdesk_identity,DCHAG_technical_only,session_risk_block,0.46358,0.34496,0.11862,0.0014460386345304373,52203
helpdesk_identity,DCHAG_no_human,strong_verification,0.48378,0.48378,0.0,0.0,53200
helpdesk_identity,DCHAG_no_human,mfa_enforcement,0.48044,0.23498,0.24546,0.0019246459033383423,53201
helpdesk_identity,DCHAG_no_human,manager_callback,0.48414,0.4294,0.05474,0.0010172960954544733,53202
helpdesk_identity,DCHAG_no_human,session_risk_block,0.48384,0.36136,0.12248,0.001466156875753644,53203
helpdesk_identity,DCHAG_no_process,strong_verification,0.46554,0.46554,0.0,0.0,54200
helpdesk_identity,DCHAG_no_process,mfa_enforcement,0.46126,0.23068,0.23058,0.0018837006764782908,54201
helpdesk_identity,DCHAG_no_process,manager_callback,0.46022,0.46022,0.0,0.0,54202
helpdesk_identity,DCHAG_no_process,session_risk_block,0.46564,0.34574,0.1199,0.0014527635769250992,54203
helpdesk_identity,DCHAG_no_temporal,strong_verification,0.39256,0.33196,0.0606,0.0010670405669474007,55200
helpdesk_identity,DCHAG_no_temporal,mfa_enforcement,0.39202,0.22074,0.17128,0.0016849094962045315,55201
helpdesk_identity,DCHAG_no_temporal,manager_callback,0.39034,0.3556,0.03474,0.0008189481433651525,55202
helpdesk_identity,DCHAG_no_temporal,session_risk_block,0.39326,0.30184,0.09142,0.001288906861498515,55203
helpdesk_identity,ObservationalOutcome,strong_verification,0.5440707472196978,0.44938613890307794,0.09468460831661991,,
helpdesk_identity,ObservationalOutcome,mfa_enforcement,0.5440707472196978,0.27957286477842547,0.26449788244127237,,
helpdesk_identity,ObservationalOutcome,manager_callback,0.5440707472196978,0.47279395951662084,0.07127678770307701,,
helpdesk_identity,ObservationalOutcome,session_risk_block,0.5440707472196978,0.43376692478766016,0.1103038224320377,,
