context,model,control,baseline_risk,intervention_risk,risk_reduction,estimator_se,seed
it_ot_maintenance,DCHAG_full,change_validation,0.5077,0.39966,0.10804,0.0013883031786012428,51300
it_ot_maintenance,DCHAG_full,jump_host_enforcement,0.50164,0.3529,0.14874,0.00159134499577493,51301
it_ot_maintenance,DCHAG_full,signed_change_package,0.5052,0.36174,0.14346,0.0015676841903503442,51302
it_ot_maintenance,DCHAG_full,command_allowlist,0.50174,0.40252,0.09922,0.0013369904946826127,51303
it_ot_maintenance,DCHAG_technical_only,change_validation,0.4567,0.4567,0.0,0.0,52300
it_ot_maintenance,DCHAG_technical_only,jump_host_enforcement,0.45564,0.3272,0.12844,0.0014962981341170361,52301
it_ot_maintenance,DCHAG_technical_only,signed_change_package,0.45878,0.32462,0.13416,0.0015242271331291366,52302
it_ot_maintenance,DCHAG_technical_only,command_allowlist,0.45594,0.35952,0.09642,0.001320037318400673,52303
it_ot_maintenance,DCHAG_no_human,change_validation,0.45636,0.45636,0.0,0.0,53300
it_ot_maintenance,DCHAG_no_human,jump_host_enforcement,0.45874,0.32442,0.13432,0.0015249948407077595,53301
it_ot_maintenance,DCHAG_no_human,signed_change_package,0.4594,0.3254,0.134,0.001523458702600228,53302
it_ot_maintenance,DCHAG_no_human,command_allowlist,0.45408,0.3582,0.09588,0.0013167289726833502,53303
it_ot_maintenance,DCHAG_no_process,change_validation,0.455,0.455,0.0,0.0,54300
it_ot_maintenance,DCHAG_no_process,jump_host_enforcement,0.45316,0.32744,0.12572,0.0014826778472318163,54301
it_ot_maintenance,DCHAG_no_process,signed_change_package,0.45464,0.31886,0.13578,0.0015319669612806305,54302
it_ot_maintenance,DCHAG_no_process,command_allowlist,0.45572,0.361,0.09472,0.001309578837617132,54303
it_ot_maintenance,DCHAG_no_temporal,change_validation,0.4068,0.3306,0.0762,0.001186549349157952,55300
it_ot_maintenance,DCHAG_no_temporal,jump_host_enforcement,0.4009,0.29824,0.10266,0.0013573707441619412,55301
it_ot_maintenance,DCHAG_no_temporal,signed_change_package,0.40414,0.30552,0.09862,0.0013333857170186754,55302
it_ot_maintenance,DCHAG_no_temporal,command_allowlist,0.40404,0.33464,0.0694,0.0011365292050680787,55303
it_ot_maintenance,ObservationalOutcome,change_validation,0.48669027456635117,0.3902437701604792,0.09644650440587198,,
it_ot_maintenance,ObservationalOutcome,jump_host_enforcement,0.48669027456635117,0.36788179996933035,0.11880847459702083,,
it_ot_maintenance,ObservationalOutcome,signed_change_package,0.48669027456635117,0.36185322774286754,0.12483704682348364,,
it_ot_maintenance,ObservationalOutcome,command_allowlist,0.48669027456635117,0.4003305509992313,0.08635972356711986,,
